,t
0,430.20001220703125
1,430.2099914550781
2,425.3800048828125
3,427.67999267578125
4,433.55999755859375
5,434.0899963378906
6,423.95001220703125
7,422.6199951171875
8,421.1700134277344
9,417.1700134277344
10,409.7099914550781
11,397.260009765625
12,398.1700134277344
13,405.6600036621094
14,402.92999267578125
15,397.82000732421875
16,405.6700134277344
17,414.3399963378906
18,418.9800109863281
19,414.5899963378906
20,410.3399963378906
21,413.2300109863281
22,410.7200012207031
23,418.54998779296875
24,414.92999267578125
25,413.1499938964844
26,404.42999267578125
27,408.17999267578125
28,408.20001220703125
29,407.489990234375
30,402.1499938964844
31,397.04998779296875
32,397.739990234375
33,377.760009765625
34,394.95001220703125
35,397.17999267578125
36,400.010009765625
37,397.7200012207031
38,405.0199890136719
39,396.92999267578125
40,396.7300109863281
41,385.760009765625
42,390.8800048828125
43,388.44000244140625
44,393.6199951171875
45,387.07000732421875
46,385.8599853515625
47,395.5
48,398.6400146484375
49,403.9800109863281
50,409.8399963378906
51,411.20001220703125
52,412.1600036621094
53,409.8900146484375
54,414.7900085449219
55,415.5
56,422.9599914550781
57,423.260009765625
58,420.9700012207031
59,416.67999267578125
60,416.45001220703125
61,418.55999755859375
62,410.760009765625
63,409.6000061035156
64,411.8500061035156
65,408.5
66,407.3299865722656
67,402.57000732421875
68,407.7200012207031
69,401.54998779296875
70,402.5799865722656
71,410.82000732421875
72,412.3800048828125
73,401.6700134277344
74,389.4200134277344
75,391.3999938964844
76,383.5
77,388.2300109863281
78,389.4200134277344
79,378.7900085449219
80,381.6199951171875
81,383.3500061035156
82,390.2200012207031
83,378.010009765625
84,372.3599853515625
85,371.8999938964844
86,365.9700012207031
87,357.8399963378906
88,364.7300109863281
89,367.7099914550781
90,373.6600036621094
91,370.9800109863281
92,357.1700134277344
93,361.4100036621094
94,361.0899963378906
95,360.8500061035156
96,360.5400085449219
97,366.45001220703125
98,374.94000244140625
99,380.2300109863281
100,381.6099853515625
101,376.4100036621094
102,379.1099853515625
103,381.3299865722656
104,375.1600036621094
105,380.5
106,376.239990234375
107,362.92999267578125
108,349.1099853515625
109,346.3699951171875
110,346.82000732421875
111,340.4800109863281
112,337.30999755859375
113,343.19000244140625
114,342.0799865722656
115,347.6300048828125
116,352.0299987792969
117,361.0
118,360.0799865722656
119,350.42999267578125
120,345.8800048828125
121,346.1600036621094
122,345.4800109863281
123,351.2300109863281
124,354.010009765625
125,355.9100036621094
126,354.8399963378906
127,352.6000061035156
128,344.739990234375
129,343.4100036621094
130,351.7300109863281
131,356.9700012207031
132,354.95001220703125
133,360.70001220703125
134,362.3599853515625
135,366.69000244140625
136,363.8399963378906
137,362.1199951171875
138,362.489990234375
139,369.4200134277344
140,374.7300109863281
141,376.1199951171875
142,376.1099853515625
143,377.19000244140625
144,380.8800048828125
145,376.6499938964844
146,381.7799987792969
147,379.0199890136719
148,384.989990234375
149,388.8699951171875
150,387.95001220703125
151,390.489990234375
152,393.239990234375
153,391.55999755859375
154,392.4200134277344
155,390.70001220703125
156,383.42999267578125
157,379.55999755859375
158,378.8999938964844
159,381.760009765625
160,385.54998779296875
161,369.7699890136719
162,371.29998779296875
163,367.6099853515625
164,361.1000061035156
165,367.95001220703125
166,361.3599853515625
167,358.8599853515625
168,363.3800048828125
169,370.239990234375
170,375.82000732421875
171,369.3399963378906
172,362.5799865722656
173,361.1600036621094
174,354.55999755859375
175,352.79998779296875
176,355.3800048828125
177,356.3800048828125
178,347.54998779296875
179,342.0799865722656
180,338.2300109863281
181,339.7900085449219
182,334.79998779296875
183,337.1499938964844
184,332.57000732421875
185,331.7900085449219
186,342.1400146484375
187,343.1199951171875
188,345.17999267578125
189,339.0799865722656
190,334.4700012207031
191,329.20001220703125
192,329.1499938964844
193,320.8399963378906
194,338.6199951171875
195,334.57000732421875
196,344.67999267578125
197,339.0400085449219
198,338.1700134277344
199,335.5
200,345.45001220703125
201,348.04998779296875
202,350.70001220703125
203,352.04998779296875
204,349.0400085449219
205,355.1600036621094
206,358.5299987792969
207,352.7799987792969
208,341.3399963378906
209,346.4100036621094
210,347.05999755859375
211,350.2099914550781
212,349.0799865722656
213,356.5199890136719
214,363.69000244140625
215,364.57000732421875
216,368.6499938964844
217,364.70001220703125
218,358.79998779296875
219,365.4599914550781
220,362.7699890136719
221,364.510009765625
222,367.2099914550781
223,369.3900146484375
224,366.8599853515625
225,363.92999267578125
226,363.45001220703125
227,375.8699951171875
228,369.6600036621094
229,371.2799987792969
230,367.0899963378906
231,361.04998779296875
232,363.1300048828125
233,363.0
234,362.2799987792969
235,377.1099853515625
236,369.1000061035156
237,362.4700012207031
238,355.6499938964844
239,354.1300048828125
240,348.45001220703125
241,352.20001220703125
242,351.9800109863281
243,348.92999267578125
244,351.760009765625
245,350.4200134277344
246,348.9100036621094
247,349.7900085449219
248,353.17999267578125
249,352.1000061035156
250,350.7300109863281
251,351.5899963378906
252,358.7300109863281
253,355.8399963378906
254,360.4100036621094
255,364.4800109863281
256,361.67999267578125
257,366.19000244140625
258,366.6700134277344
259,357.760009765625
260,358.45001220703125
261,364.510009765625
262,366.57000732421875
263,363.7799987792969
264,370.4599914550781
265,370.8900146484375
266,370.1499938964844
267,368.6099853515625
268,372.44000244140625
269,381.25
270,378.2300109863281
271,376.5799865722656
272,375.7900085449219
273,379.69000244140625
274,380.9700012207031
275,373.0
276,375.6499938964844
277,377.9599914550781
278,377.1499938964844
279,375.6600036621094
280,373.17999267578125
281,370.3999938964844
282,367.17999267578125
283,369.07000732421875
284,363.30999755859375
285,367.489990234375
286,365.010009765625
287,363.3399963378906
288,360.80999755859375
289,367.2900085449219
290,372.260009765625
291,371.6300048828125
292,366.1099853515625
293,367.3500061035156
294,359.3299865722656
295,350.760009765625
296,358.8800048828125
297,354.4599914550781
298,355.5400085449219
299,362.760009765625
300,360.4700012207031
301,366.4200134277344
302,367.7799987792969
303,364.4800109863281
304,359.9800109863281
305,365.7300109863281
306,363.5400085449219
307,367.3999938964844
308,371.2300109863281
309,371.7799987792969
310,375.6000061035156
311,378.19000244140625
312,374.7099914550781
313,373.6700134277344
314,373.54998779296875
315,376.8999938964844
316,378.3999938964844
317,375.9100036621094
318,379.2699890136719
319,378.8399963378906
320,381.8399963378906
321,378.7300109863281
322,377.7799987792969
323,378.67999267578125
324,378.4800109863281
325,377.17999267578125
326,373.6600036621094
327,373.8900146484375
328,378.0400085449219
329,381.7300109863281
330,381.05999755859375
331,377.9100036621094
332,373.8399963378906
333,375.739990234375
334,379.4100036621094
335,377.7099914550781
336,380.2799987792969
337,378.4700012207031
338,379.8500061035156
339,378.739990234375
340,378.3900146484375
341,378.8500061035156
342,381.260009765625
343,386.0199890136719
344,384.6600036621094
345,383.19000244140625
346,378.9100036621094
347,380.989990234375
348,381.6400146484375
349,387.760009765625
350,384.30999755859375
351,384.20001220703125
352,390.0799865722656
353,393.5400085449219
354,392.04998779296875
355,393.6700134277344
356,391.9599914550781
357,395.04998779296875
358,395.9800109863281
359,400.0199890136719
360,401.6099853515625
361,401.0
362,408.69000244140625
363,403.489990234375
364,402.30999755859375
365,400.2799987792969
